data,method,cl,hl,ft_method,rank,alpha,dropout,target_modules,lr,epochs,batch_size,mae,mse,wape,smape,mae_scl,mse_scl,wape_scl,smape_scl,tr_time,inf_time,tr_params_ratio
Etth1,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,2.7774,13.4134,42.88,49.25,0.3327,0.1925,28.05,35.97,1451.2182531356812,4.576566934585571,0.001326445030598047
Etth1,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,2.9201,14.5232,45.08,50.13,0.3498,0.2084,29.49,37.46,1436.0643057823181,2.4712347984313965,0.001326445030598047
Etth1,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,2.6169,11.6148,40.4,49.78,0.3135,0.1666,26.43,31.71,1420.24738073349,1.3915791511535645,0.001326445030598047
Etth1,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,2.9579,14.2813,45.67,49.19,0.3543,0.2049,29.87,41.21,1393.870667219162,0.6987879276275635,0.001326445030598047
Etth2,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,7.6627,101.8126,35.7,40.91,0.672,0.783,66.56,86.46,1476.1935377120972,4.99705696105957,0.001326445030598047
Etth2,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,7.6226,95.0678,35.51,40.29,0.6685,0.7311,66.21,86.35,1462.928790807724,2.4907422065734863,0.001326445030598047
Etth2,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,7.252,90.0768,33.79,40.6,0.636,0.6927,62.99,86.11,1448.9141688346863,1.428581953048706,0.001326445030598047
Etth2,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,7.4961,91.4705,34.92,40.02,0.6574,0.7034,65.11,77.55,1406.043444633484,0.716803789138794,0.001326445030598047
Ettm1,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,1.7896,5.7339,27.64,37.55,0.2144,0.0823,18.08,23.44,5979.183317899704,19.43431830406189,0.001326445030598047
Ettm1,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,1.9718,7.1459,30.45,39.42,0.2363,0.1026,19.92,25.47,5935.985801696777,9.36500072479248,0.001326445030598047
Ettm1,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,2.2798,9.2588,35.21,43.92,0.2732,0.1329,23.03,29.28,5845.219178676605,5.526256322860718,0.001326445030598047
Ettm1,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,2.489,10.6617,38.44,50.35,0.2982,0.1531,25.14,30.34,5805.544829368591,2.6861400604248047,0.001326445030598047
Ettm2,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,5.1969,42.3304,24.21,29.05,0.4558,0.3257,45.14,69.41,5901.08167719841,19.059927940368652,0.001326445030598047
Ettm2,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,5.4397,47.7266,25.34,30.0,0.4771,0.3672,47.25,71.47,5894.087688446045,9.663933753967285,0.001326445030598047
Ettm2,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,6.0175,61.7023,28.03,32.2,0.5278,0.4747,52.26,73.65,5861.626575708389,5.5162341594696045,0.001326445030598047
Ettm2,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,6.312,69.3774,29.4,34.03,0.5537,0.5338,54.82,75.21,5815.325145483017,2.6401572227478027,0.001326445030598047
Electricity,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,693.5053,845152.8,21.16,20.67,1.2509,2.7495,156.09,143.92,2218.56303024292,7.219687461853027,0.001326445030598047
Electricity,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,659.7564,773956.0,20.13,19.1,1.19,2.5178,148.5,143.21,2193.6743819713593,3.679811716079712,0.001326445030598047
Electricity,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,654.3609,760003.94,19.97,19.1,1.1802,2.4724,147.28,143.72,2173.458781003952,2.0343518257141113,0.001326445030598047
Electricity,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,647.1052,749204.8,19.75,18.96,1.1672,2.4373,145.65,140.3,2127.476543188095,0.9666969776153564,0.001326445030598047
Exchange,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,0.0177,0.0005,2.29,2.3,0.3175,0.1741,12.35,13.21,619.5271162986755,2.107325792312622,0.001326445030598047
Exchange,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,0.021,0.0007,2.73,2.76,0.3776,0.2249,14.69,16.17,606.9613749980927,1.0616610050201416,0.001326445030598047
Exchange,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,0.0237,0.001,3.08,3.1,0.4255,0.3129,16.55,18.09,589.4548525810242,0.6088066101074219,0.001326445030598047
Exchange,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,0.0451,0.0031,5.85,5.9,0.8098,1.0076,31.51,33.4,543.3099296092987,0.35590171813964844,0.001326445030598047
Solar,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,14.3199,293.6149,197.95,150.68,1.2153,2.1147,145.12,150.4,4430.92077922821,14.180473566055298,0.001326445030598047
Solar,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,14.3667,291.8266,198.6,149.82,1.2193,2.1019,145.6,149.83,4458.049014091492,7.303709506988525,0.001326445030598047
Solar,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,14.3314,293.1821,198.11,152.14,1.2163,2.1116,145.24,155.04,4418.869958639145,4.118788480758667,0.001326445030598047
Solar,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,15.4062,418.5954,212.97,154.77,1.3075,3.0149,156.13,153.65,4392.342282533646,1.935379981994629,0.001326445030598047
Weather,TimesFM,96,96,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,15.1022,455.655,3.48,3.43,0.0393,0.0031,65.05,65.63,4491.155514717102,14.53735065460205,0.001326445030598047
Weather,TimesFM,96,192,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,16.038,512.4906,3.7,3.64,0.0418,0.0035,69.08,67.52,4442.328074216843,7.301638126373291,0.001326445030598047
Weather,TimesFM,96,336,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,15.4405,528.9428,3.56,3.5,0.0402,0.0036,66.51,67.76,4421.138948917389,4.233629465103149,0.001326445030598047
Weather,TimesFM,96,720,LoRA,2,8,0.1,"['qkv_proj', 'out']",0.0001,10,16,16.3978,508.5396,3.78,3.72,0.0427,0.0034,70.63,72.2,4417.173362970352,1.933380365371704,0.001326445030598047
